,pattern,NamedPattern,NumUsersMatchPattern,NumUsersAtEachNode
200,-48-50-51-53-,"['8. Find Book', '8B. Ambush', '9. Collapse', '9B. Die']",3,"[8.0, 7.0, 6.0, 5.0]"
162,-29-30-31-33-34-,"['6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend', '10. Rise']",3,"[6.0, 5.0, 6.0, 4.0, 6.0]"
159,-26-29-30-31-33-,"['5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend']",3,"[7.0, 6.0, 5.0, 6.0, 4.0]"
166,-30-31-33-34-,"['7. Lose Heart', '8. Emerge', '9B. Defend', '10. Rise']",3,"[5.0, 6.0, 4.0, 6.0]"
176,-36-38-40-41-,"['2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!', '5. Come Home']",3,"[21.0, 9.0, 16.0, 13.0]"
64,-0-35-36-38-40-41-42-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy']",3,"[109.0, 35.0, 21.0, 9.0, 16.0, 13.0, 9.0]"
168,-31-33-34-,"['8. Emerge', '9B. Defend', '10. Rise']",3,"[6.0, 4.0, 6.0]"
189,-44-46-47-48-50-51-,"['6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book', '8B. Ambush', '9. Collapse']",3,"[11.0, 7.0, 7.0, 8.0, 7.0, 6.0]"
196,-47-48-50-51-,"['7. Tell The Truth', '8. Find Book', '8B. Ambush', '9. Collapse']",3,"[7.0, 8.0, 7.0, 6.0]"
145,-20-22-24-25-26-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary']",3,"[15.0, 8.0, 9.0, 8.0, 7.0]"
144,-20-22-24-25-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart']",3,"[15.0, 8.0, 9.0, 8.0]"
180,-41-43-,"['5. Come Home', '5B. Channel William']",3,"[13.0, 4.0]"
181,-41-43-44-,"['5. Come Home', '5B. Channel William', '6. Leap']",3,"[13.0, 4.0, 11.0]"
143,-20-22-24-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet']",3,"[15.0, 8.0, 9.0]"
173,-35-36-38-40-41-,"['1. Mary Start', '2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!', '5. Come Home']",3,"[35.0, 21.0, 9.0, 16.0, 13.0]"
179,-40-41-43-,"['4. Brace Yourself!', '5. Come Home', '5B. Channel William']",3,"[16.0, 13.0, 4.0]"
201,-48-50-51-53-54-,"['8. Find Book', '8B. Ambush', '9. Collapse', '9B. Die', '10. Recover']",3,"[8.0, 7.0, 6.0, 5.0, 5.0]"
119,-14-16-18-,"['8. Spin', '9B. Flee', '10B. Stage Dive']",3,"[7.0, 3.0, 3.0]"
88,-0-55-56-59-,"['INSTRUCTIONS', '1. John Start', '2. Imagine Fanny', '3C. Follow Byron']",3,"[109.0, 15.0, 8.0, 3.0]"
112,-10-12-13-14-16-18-,"['6. Face Claire', '6B. Dare', '7. Seduce', '8. Spin', '9B. Flee', '10B. Stage Dive']",3,"[9.0, 7.0, 7.0, 7.0, 3.0, 3.0]"
115,-12-13-14-16-18-,"['6B. Dare', '7. Seduce', '8. Spin', '9B. Flee', '10B. Stage Dive']",3,"[7.0, 7.0, 7.0, 3.0, 3.0]"
117,-13-14-16-18-,"['7. Seduce', '8. Spin', '9B. Flee', '10B. Stage Dive']",3,"[7.0, 7.0, 3.0, 3.0]"
118,-14-16-,"['8. Spin', '9B. Flee']",3,"[7.0, 3.0]"
203,-50-51-53-,"['8B. Ambush', '9. Collapse', '9B. Die']",3,"[7.0, 6.0, 5.0]"
62,-0-35-36-38-40-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!']",3,"[109.0, 35.0, 21.0, 9.0, 16.0]"
123,-19-20-22-24-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet']",3,"[29.0, 15.0, 8.0, 9.0]"
124,-19-20-22-24-25-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart']",3,"[29.0, 15.0, 8.0, 9.0, 8.0]"
125,-19-20-22-24-25-26-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary']",3,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0]"
63,-0-35-36-38-40-41-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!', '5. Come Home']",3,"[109.0, 35.0, 21.0, 9.0, 16.0, 13.0]"
230,-70-72-,"['8. Make Love', '9B Expose']",3,"[3.0, 3.0]"
235,-8-9-10-12-,"['4B. Connect', '5. Avoid', '6. Face Claire', '6B. Dare']",3,"[4.0, 9.0, 9.0, 7.0]"
70,-0-35-36-39-40-41-42-44-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap']",3,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0, 9.0, 11.0]"
212,-6-8-,"['4. Ambush', '4B. Connect']",3,"[10.0, 4.0]"
134,-2-3-6-8-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect']",3,"[19.0, 13.0, 10.0, 4.0]"
204,-50-51-53-54-,"['8B. Ambush', '9. Collapse', '9B. Die', '10. Recover']",3,"[7.0, 6.0, 5.0, 5.0]"
111,-10-12-13-14-16-,"['6. Face Claire', '6B. Dare', '7. Seduce', '8. Spin', '9B. Flee']",3,"[9.0, 7.0, 7.0, 7.0, 3.0]"
29,-0-19-20-22-24-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet']",2,"[109.0, 29.0, 15.0, 8.0, 9.0]"
231,-70-72-73-,"['8. Make Love', '9B Expose', '10. Depart']",2,"[3.0, 3.0, 3.0]"
184,-43-44-46-47-,"['5B. Channel William', '6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth']",2,"[4.0, 11.0, 7.0, 7.0]"
228,-69-70-72-,"['7B. Resist', '8. Make Love', '9B Expose']",2,"[2.0, 3.0, 3.0]"
221,-64-66-,"['6. Meet The Monster', '6B. Attack']",2,"[3.0, 2.0]"
14,-0-1-2-3-6-7-9-10-12-,"['INSTRUCTIONS', '1. Byron Start', '2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4A. Clash', '5. Avoid', '6. Face Claire', '6B. Dare']",2,"[109.0, 32.0, 19.0, 13.0, 10.0, 7.0, 9.0, 9.0, 7.0]"
193,-46-47-48-50-51-53-,"['6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book', '8B. Ambush', '9. Collapse', '9B. Die']",2,"[7.0, 7.0, 8.0, 7.0, 6.0, 5.0]"
194,-46-47-48-50-51-53-54-,"['6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book', '8B. Ambush', '9. Collapse', '9B. Die', '10. Recover']",2,"[7.0, 7.0, 8.0, 7.0, 6.0, 5.0, 5.0]"
218,-61-63-64-66-,"['4A. Clash', '5. Find It', '6. Meet The Monster', '6B. Attack']",2,"[3.0, 3.0, 3.0, 2.0]"
197,-47-48-50-51-53-54-,"['7. Tell The Truth', '8. Find Book', '8B. Ambush', '9. Collapse', '9B. Die', '10. Recover']",2,"[7.0, 8.0, 7.0, 6.0, 5.0, 5.0]"
213,-6-8-9-,"['4. Ambush', '4B. Connect', '5. Avoid']",2,"[10.0, 4.0, 9.0]"
185,-43-44-46-47-48-,"['5B. Channel William', '6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book']",2,"[4.0, 11.0, 7.0, 7.0, 8.0]"
65,-0-35-36-38-40-41-42-44-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3A. Spot William', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap']",2,"[109.0, 35.0, 21.0, 9.0, 16.0, 13.0, 9.0, 11.0]"
182,-41-43-44-46-,"['5. Come Home', '5B. Channel William', '6. Leap', '6B. Meet Mary Wollstonecraft']",2,"[13.0, 4.0, 11.0, 7.0]"
135,-2-3-6-8-9-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect', '5. Avoid']",2,"[19.0, 13.0, 10.0, 4.0, 9.0]"
72,-0-35-36-39-40-41-42-44-46-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap', '6B. Meet Mary Wollstonecraft']",2,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0, 9.0, 11.0, 7.0]"
73,-0-35-36-39-40-41-42-44-46-47-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth']",2,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0, 9.0, 11.0, 7.0, 7.0]"
74,-0-35-36-39-40-41-42-44-46-47-48-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book']",2,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0, 9.0, 11.0, 7.0, 7.0, 8.0]"
75,-0-35-36-39-40-41-42-44-46-47-48-50-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home', '5A. Channel Percy', '6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book', '8B. Ambush']",2,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0, 9.0, 11.0, 7.0, 7.0, 8.0, 7.0]"
48,-0-19-21-22-,"['INSTRUCTIONS', '1. Percy Start', '2B. Chase girl', '3A. Talk to John']",2,"[109.0, 29.0, 9.0, 8.0]"
41,-0-19-20-23-24-25-26-29-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3B. Talk to Byron', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim']",2,"[109.0, 29.0, 15.0, 9.0, 9.0, 8.0, 7.0, 6.0]"
126,-19-20-22-24-25-26-29-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim']",2,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0, 6.0]"
127,-19-20-22-24-25-26-29-30-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart']",2,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0]"
