,user,date,pageId,timeOnPage
0,5b9a9415def82a3ad52e2a7e,2018-11-03 16:34:44.241000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,0 days 00:00:13.713000000
1,5b9a9415def82a3ad52e2a7e,2018-11-03 16:34:57.954000+00:00,c832574d-38c0-44dc-12c2-9bf1a14c8465,0 days 00:00:03.060000000
2,5b9a9415def82a3ad52e2a7e,2018-11-03 16:35:01.014000+00:00,9d01ba5c-9124-40c7-3e0a-bd7206a2304b,4 days 21:47:38.734000000
3,5b9a9415def82a3ad52e2a7e,2018-11-08 14:22:39.748000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:04:39.018000000
4,5b9a9415def82a3ad52e2a7e,2018-11-08 14:27:18.766000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:01:26.457000000
5,5b9a9415def82a3ad52e2a7e,2018-11-08 14:28:45.223000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,0 days 00:01:58.514000000
6,5b9a9415def82a3ad52e2a7e,2018-11-08 14:30:43.737000+00:00,d6d2258e-f794-4f66-0bc3-4a0ca556994f,0 days 00:01:51.230000000
7,5b9a9415def82a3ad52e2a7e,2018-11-08 14:32:34.967000+00:00,3a9afeb3-3bdd-4a33-cafb-7978f2e8480f,0 days 00:02:05.768000000
8,5b9a9415def82a3ad52e2a7e,2018-11-08 14:34:40.735000+00:00,574ef7f0-726a-4993-7aa5-0e355ae57df6,0 days 00:00:19.266000000
9,5b9a9415def82a3ad52e2a7e,2018-11-08 14:35:00.001000+00:00,edce1ebf-9573-4858-63bc-4d1dcf4700b8,0 days 00:00:08.461000000
10,5b9a9415def82a3ad52e2a7e,2018-11-08 14:35:08.462000+00:00,6d77c836-c34f-44bd-43d4-2c9f02af7052,0 days 00:00:11.285000000
11,5b9a9415def82a3ad52e2a7e,2018-11-08 14:35:19.747000+00:00,0abfa6e7-be7d-4efa-3e66-e604d84d2359,0 days 00:00:07.134000000
12,5b9a9415def82a3ad52e2a7e,2018-11-08 14:35:26.881000+00:00,a87605ba-4ad9-42e3-e14f-c3126d506fde,0 days 00:01:19.367000000
13,5b9a9415def82a3ad52e2a7e,2018-11-08 14:36:46.248000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:01:35.210000000
14,5b9a9415def82a3ad52e2a7e,2018-11-08 14:38:21.458000+00:00,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,0 days 00:01:56.202000000
16,5ba0e437def82a3ad52e2c1c,2018-10-31 16:08:10.293000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:15.418000000
17,5ba0e437def82a3ad52e2c1c,2018-10-31 16:08:25.711000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,0 days 00:12:26.923000000
18,5ba0e437def82a3ad52e2c1c,2018-10-31 16:20:52.634000+00:00,c832574d-38c0-44dc-12c2-9bf1a14c8465,0 days 00:01:28.980000000
19,5ba0e437def82a3ad52e2c1c,2018-10-31 16:22:21.614000+00:00,9d01ba5c-9124-40c7-3e0a-bd7206a2304b,0 days 00:00:06.930000000
20,5ba0e437def82a3ad52e2c1c,2018-10-31 16:22:28.544000+00:00,a84f3bab-38e9-42cb-d67a-54f950065326,0 days 00:00:04.054000000
21,5ba0e437def82a3ad52e2c1c,2018-10-31 16:22:32.598000+00:00,569bcc95-7a7f-403c-4d66-8dbc01c61863,0 days 00:00:08.503000000
22,5ba0e437def82a3ad52e2c1c,2018-10-31 16:22:41.101000+00:00,42edb729-d668-488a-e57f-ce3dd3e6c40d,0 days 00:00:52.888000000
23,5ba0e437def82a3ad52e2c1c,2018-10-31 16:23:33.989000+00:00,46dd5ea2-3f41-4172-407e-89b5939d1bd9,0 days 00:00:02.947000000
24,5ba0e437def82a3ad52e2c1c,2018-10-31 16:23:36.936000+00:00,5ec9f575-6477-48c1-4ab9-a91ffc26421d,0 days 00:00:46.440000000
25,5ba0e437def82a3ad52e2c1c,2018-10-31 16:24:23.376000+00:00,33a34db8-7181-4aaa-a417-93ac800d82ea,0 days 00:22:13.292000000
26,5ba0e437def82a3ad52e2c1c,2018-10-31 16:46:36.668000+00:00,0a32badf-87e1-4e39-fa40-b6335fb9e4a2,20 days 18:55:33.876000000
27,5ba0e437def82a3ad52e2c1c,2018-11-21 11:42:10.544000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:24.451000000
28,5ba0e437def82a3ad52e2c1c,2018-11-21 11:42:34.995000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,0 days 00:00:17.625000000
29,5ba0e437def82a3ad52e2c1c,2018-11-21 11:42:52.620000+00:00,c832574d-38c0-44dc-12c2-9bf1a14c8465,0 days 00:00:06.681000000
30,5ba0e437def82a3ad52e2c1c,2018-11-21 11:42:59.301000+00:00,9d01ba5c-9124-40c7-3e0a-bd7206a2304b,0 days 00:00:04.103000000
31,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:03.404000+00:00,a84f3bab-38e9-42cb-d67a-54f950065326,0 days 00:00:08.065000000
32,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:11.469000+00:00,569bcc95-7a7f-403c-4d66-8dbc01c61863,0 days 00:00:11.775000000
33,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:23.244000+00:00,42edb729-d668-488a-e57f-ce3dd3e6c40d,0 days 00:00:11.776000000
34,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:35.020000+00:00,46dd5ea2-3f41-4172-407e-89b5939d1bd9,0 days 00:00:03.680000000
35,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:38.700000+00:00,f8e37abb-bb62-410d-0e29-42403f111f43,0 days 00:00:07.633000000
36,5ba0e437def82a3ad52e2c1c,2018-11-21 11:43:46.333000+00:00,33a34db8-7181-4aaa-a417-93ac800d82ea,0 days 00:41:54.349000000
37,5ba0e437def82a3ad52e2c1c,2018-11-21 12:25:40.682000+00:00,0a32badf-87e1-4e39-fa40-b6335fb9e4a2,0 days 00:00:24.392000000
38,5ba0e437def82a3ad52e2c1c,2018-11-21 12:26:05.074000+00:00,e364276c-3b10-4187-32d2-3bc19b48f188,0 days 00:00:45.737000000
39,5ba0e437def82a3ad52e2c1c,2018-11-21 12:26:50.811000+00:00,16b83f63-1263-4069-643a-01f7029b1f49,0 days 00:02:44.303000000
40,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:35.114000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:09.889000000
41,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:45.003000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,0 days 00:00:04.566000000
42,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:49.569000+00:00,c832574d-38c0-44dc-12c2-9bf1a14c8465,0 days 00:00:03.160000000
43,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:52.729000+00:00,9d01ba5c-9124-40c7-3e0a-bd7206a2304b,0 days 00:00:03.479000000
44,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:56.208000+00:00,a84f3bab-38e9-42cb-d67a-54f950065326,0 days 00:00:02.730000000
45,5ba0e437def82a3ad52e2c1c,2018-11-21 12:29:58.938000+00:00,569bcc95-7a7f-403c-4d66-8dbc01c61863,0 days 00:00:02.894000000
46,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:01.832000+00:00,42edb729-d668-488a-e57f-ce3dd3e6c40d,0 days 00:00:02.536000000
47,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:04.368000+00:00,46dd5ea2-3f41-4172-407e-89b5939d1bd9,0 days 00:00:02.416000000
48,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:06.784000+00:00,f8e37abb-bb62-410d-0e29-42403f111f43,0 days 00:00:02.993000000
49,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:09.777000+00:00,33a34db8-7181-4aaa-a417-93ac800d82ea,0 days 00:00:03.176000000
50,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:12.953000+00:00,0a32badf-87e1-4e39-fa40-b6335fb9e4a2,0 days 00:00:06.456000000
51,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:19.409000+00:00,7608e3ab-cb6d-4564-68ef-b707b833b441,0 days 00:00:15.289000000
52,5ba0e437def82a3ad52e2c1c,2018-11-21 12:30:34.698000+00:00,c05eacac-cf06-4eb2-dd60-323e08aaf064,0 days 03:37:51.869000000
53,5ba0e437def82a3ad52e2c1c,2018-11-21 16:08:26.567000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:16.370000000
54,5ba0e437def82a3ad52e2c1c,2018-11-21 16:08:42.937000+00:00,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,0 days 00:00:04.825000000
55,5ba0e437def82a3ad52e2c1c,2018-11-21 16:08:47.762000+00:00,7c67cd54-26b2-4cad-1e91-80e342964c11,0 days 00:00:06.600000000
56,5ba0e437def82a3ad52e2c1c,2018-11-21 16:08:54.362000+00:00,f771ecd2-0870-4d2e-624c-ffc491230f78,0 days 00:00:03.543000000
57,5ba0e437def82a3ad52e2c1c,2018-11-21 16:08:57.905000+00:00,fd08500f-0415-4e42-c390-07072d9e2981,0 days 00:00:03.033000000
58,5ba0e437def82a3ad52e2c1c,2018-11-21 16:09:00.938000+00:00,15bbe172-c658-4498-e4a3-3b2c74a2e297,0 days 00:00:01.448000000
